station_id,country,name,lat,lng,units,lw,mw,hw,rivers
rz.1339,ES,"Cinqueta @ Cinqueta Molino Gistain",42.6124,0.3463,cm,80,115,None,"Cinqueta / Basse Cinqueta | Cinqueta / Classique (Las Fontaciellas - Puente de la Fonderia) | Cinqueta / Gargantas de Gistain (Ermita de la Virgen Blanca - Las Fontaciellas) | Cinqueta / Puente de la Fonderia - San Juan de Plan"
rz.1341,ES,"Oria @ Leitzaran",43.208302,-2.0154,m³/s,5,15,30,"Leizaran / "
rz.1446,ES,"Isábena @ Capella",42.193802,0.3954,m³/s,14,22,30,"Isabena / Monasterio de Obarra - 	Puente de Pardinella | Isabena / Puente de Pardinella - Serraduy"
rz.23,ES,"Escá @ Sigüés",42.645,-1.0122,m³/s,8,20,None,"Esca / Burgui - Sigues"
rz.24,ES,"Gállego @ St Eulalia",42.271301,-0.751,m³/s,13,45,200,"Gallego / Presa de la Peña - Carcavilla Superior | Gallego / Carcavilla Superior - Murillo"
rz.25,ES,"Inaroz @ Ubagua-Riezu",42.765099,-1.9545,cm,90,115,160,"Ubagua / "
rz.27,ES,"Lumbreras @ Lumbreras",42.100201,-2.6221,m³/s,4,6,12,"Piqueras / "
rz.28,ES,"Salazar @ Aspurz",42.714199,-1.1603,m³/s,10,22,None,"Salazar / Foz de Arbayun"
rz.29,ES,"Urederra @ Eraul",42.691799,-2.0486,cm,90,125,180,"Urederra / Urederra (Inzura)"
rz.30,ES,"Veral @ Biniés",42.6558,-0.7861,m³/s,4,6,8,"Veral / Foz Verde - Foz de Biniés | Veral / Puente de Zabalcochs - Anso | Veral / Zuriza - Puente de Zabalcochs"
2170,FR,"Arve @ Genève, Bout du Monde",46.180302,6.1593,m³/s,30,60,100,"Arve / Slalom Annemasse"
2289,FR,"Rhein @ Basel, Rheinhalle",47.559399,7.6167,m³/s,None,None,None,"Canal de Huningue / Parc des Eaux Vives, Huningue"
2370,FR,"Doubs @ Le Noirmont, La Goule",47.229198,6.9293,m³/s,12,40,100,"Doubs / Slalom Goumois"
2371,FR,"Orbe @ Le Chenit, Frontière",46.5508,6.1535,m³/s,3,6,10,"Orbe / Bois d Amont - le Cenif"
K010002010,FR,"Loire @ Goudet",44.889099,3.9219,m³/s,6.5,12,20,"Loire / Pont en amont de Salettes - Goudet | Loire / Goudet - Chadron"
K043303001,FR,"Lignon @ Grazac [Barrage de la Chapelette]",45.167702,4.1788,cm,15,20,25,"Lignon du Velay / Pont de l'Enceinte - Montelly | Lignon du Velay / Montelly - Pont de Lignon | Auze / Pont du Fraysse (D7) - Le Chambonnet"
K045401001,FR,"Dunières @ Ste-Sigolène [Vaubarlet]",45.214802,4.2146,m³/s,5,9,None,"Dunières / Pont du Terrières (D500) - Barrage de Cublaise"
